event_date,ticker,headline,sentiment,reason
01/01/2024,ASML,ASML shares dipped about 1.3% after the Dutch government partially revoked an export licence for two of its lithography machine models bound for China,negative,"Direct market impact shown by share price decline; export licence revocation reduces ASML's addressable market in China, cutting potential revenue from one of its largest customers."
01/01/2024,ASML,China's foreign ministry criticized the Dutch licence revocation and urged the Netherlands to protect bilateral supply chain stability,negative,"China's diplomatic pushback signals potential for escalating trade tensions and retaliatory measures, which could further restrict ASML's ability to operate and sell in the Chinese market, adding uncertainty to its revenue outlook."
02/12/2024,ASML,The December 2024 rules also expanded restrictions on semiconductor manufacturing equipment and added new entities to the BIS Entity List,negative,"Expanded export restrictions on semiconductor manufacturing equipment directly impact ASML, a major supplier of lithography equipment, potentially limiting its ability to sell to certain markets (particularly China) and reducing revenue opportunities."
02/12/2024,NVDA,BIS issued new December 2024 rules placing country-wide restrictions on high-bandwidth memory (HBM) exports to China for the first time,neutral,"While HBM export restrictions to China could reduce availability of memory for AI chips broadly, the direct impact on NVDA is ambiguous as NVDA already faces its own export restrictions to China; the rule targets memory suppliers rather than NVDA directly."
02/12/2024,NVDA,Analysts noted the new HBM restrictions could indirectly benefit Nvidia by hurting Chinese AI chip competitors reliant on the same memory technology,positive,"If Chinese AI chip competitors like Huawei are hampered by HBM restrictions, NVDA faces reduced competitive pressure in global AI chip markets, supporting its dominant market position and pricing power."
07/10/2022,AMD,AMD shares fell alongside Nvidia as the new China export restrictions rattled the broader semiconductor sector,negative,"Export restrictions on China directly impact AMD's revenue from one of its largest markets, and the sector-wide selloff reflects investor concern about AMD's exposure to China sales, particularly for its AI and data center chips."
07/10/2022,NVDA,BIS issued sweeping new export controls covering advanced computing chips and chipmaking equipment bound for China,negative,"Export controls on advanced computing chips directly restrict NVDA's ability to sell its high-end GPUs to China, a significant market, reducing revenue potential."
07/10/2022,NVDA,"Analysts and commentators called the October 2022 controls a landmark shift in US-China tech relations, with one describing it as close to an act of economic war",negative,"Characterizing the controls as 'economic war' signals a severe and lasting disruption to NVDA's China business, amplifying negative sentiment around long-term revenue loss in a major market."
07/10/2022,NVDA,Nvidia and peer chipmakers traded lower as reports emerged the US planned to further tighten the chip export restrictions announced in October,negative,"The headline explicitly states NVDA traded lower on news of further tightening restrictions, directly indicating negative stock price impact from additional curbs on China sales."
07/10/2022,TSM,"The Philadelphia Semiconductor Index fell roughly 8% following the October 2022 export control announcement, based on CSIS analysis of the sector-wide reaction",negative,"A broad semiconductor index decline of 8% following export control announcements signals sector-wide headwinds that directly impact TSM as the world's largest contract chipmaker, with export restrictions limiting its ability to serve Chinese customers and constraining revenue growth."
17/10/2023,NVDA,"BIS released updated interim final rules on October 17, 2023, closing loopholes in the 2022 controls and expanding country coverage",negative,"Tightened export controls and expanded country coverage restrict NVDA's ability to sell advanced chips to key markets, directly limiting revenue opportunities."
17/10/2023,NVDA,Then-Commerce Secretary Gina Raimondo said the update was meant to close loopholes and signaled the rules would likely be revised annually,negative,"Signals ongoing and recurring regulatory tightening, creating persistent uncertainty and potential for further restrictions on NVDA's international chip sales."
17/10/2023,NVDA,"The Philadelphia Semiconductor Index fell roughly 3% following the October 2023 update, a smaller move than the 2022 announcement, per CSIS analysis",neutral,"While the sector declined, the smaller market reaction compared to 2022 suggests markets partially priced in the restrictions, mildly negative but less damaging than prior controls for NVDA specifically."
